instance,time_checkpoint,objective_current,best_bound_current,gap_vs_bound_current,bks,gap_vs_bks_current,best_gap_vs_bks_so_far_instance,best_obj_so_far_instance,best_obj_found_at_time_instance,cumulative_branches_instance,status_segment,time_segment_solver,cumulative_solver_time_instance
instance1,60,88850,246084,1.7696567248171076,98817,0.10086321179554125,0.10086321179554125,88850,60,1043453,Feasible,60,60.0
instance1,120,88850,246084,1.7696567248171076,98817,0.10086321179554125,0.10086321179554125,88850,60,2128339,Feasible,60,120.0
instance1,180,88850,246084,1.7696567248171076,98817,0.10086321179554125,0.10086321179554125,88850,60,3175312,Feasible,60,180.0
instance1,300,88850,238435,1.6835678109172763,98817,0.10086321179554125,0.10086321179554125,88850,60,5345043,Feasible,120,300.0
