instance,time,best_gap,avg_gap,iterations,iter_best
instance1,64.05740284919739,,,0,0
instance1,120.11500883102417,,,0,0
instance1,180.05471897125244,,,0,0
instance1,185.00025081634521,,,0,0
instance2,60.05923414230347,,,0,0
instance2,172.66612005233765,,,0,0
instance2,181.36618494987488,,,0,0
instance2,185.00272798538208,,,0,0
instance3,99.80248808860779,,,0,0
instance3,122.43931698799133,,,0,0
instance3,181.6788170337677,,,0,0
instance3,185.0061240196228,,,0,0
instance4,82.04154300689697,,,0,0
instance4,123.96290898323059,,,0,0
instance4,157.02131009101868,,,0,0
instance5,162.5263330936432,,,0,0
instance5,162.5263330936432,,,0,0
instance5,162.53081107139587,,,0,0
